"ModelType","nComp","R2","RMSE","Bias","RPD","Cal_Region","Val_Region"
"Filtered SG",3,-15.581895857278,67.964355939244,-64.4674869182817,0.788403311107217,"LPW","N Kodiak"
"VIP > 1.0",3,-21.4286748446326,79.0434561734741,-75.1579910722578,0.693136234162373,"LPW","N Kodiak"
"VIP > 0.5",3,-25.2133484017556,85.4526162817331,-82.2164535521676,0.728354286000389,"LPW","N Kodiak"
"Simple-LM",NA,0.344633545975131,46.4387279495263,44.9968930300745,0.227673685640788,"LPW","S Kodiak"
"Simple-GAM",NA,0.210888179119142,32.9193917325221,31.1655786592341,0.321174717766527,"LPW","S Kodiak"
"PCA-LM",NA,0.0411944228407589,18.0214686565258,14.9132966574772,0.586682281574757,"LPW","S Kodiak"
"PCA-GAM",NA,0.00578658306127487,26.9563417399402,24.7072362074566,0.392222225505959,"LPW","S Kodiak"
"SNV+SG",3,-16.7131612411124,42.8794147754117,-41.6278256677222,1.02805252845013,"LPW","S Kodiak"
"SG Only",2,-27.8100289219559,54.685559337797,-53.2919537454256,0.861899348731444,"LPW","S Kodiak"
"Filtered SG",3,-65.0191692590745,82.7819855741041,-81.8339814213173,0.846354006563611,"LPW","S Kodiak"
"VIP > 1.0",3,-87.7867110244439,96.0007875125095,-95.0967988356508,0.804422217406463,"LPW","S Kodiak"
"VIP > 0.5",3,-102.652159002622,103.726563000908,-102.901380419297,0.809698995471029,"LPW","S Kodiak"
"Simple-LM",NA,0.636160900999193,42.2670432971197,40.0677927988249,0.252451683956733,"LPW","W Shumagins"
"Simple-GAM",NA,0.505077669546555,29.5439255121198,27.1447222272478,0.361170226070761,"LPW","W Shumagins"
"PCA-LM",NA,0.135639482089839,12.4829556976729,7.50800154038904,0.854796453232567,"LPW","W Shumagins"
"PCA-GAM",NA,0.0718899099024592,20.9197461846902,18.0979622178909,0.510062892829884,"LPW","W Shumagins"
"SNV+SG",3,-15.9574199578391,43.1757654028719,-41.8682989415015,1.01191226143989,"LPW","W Shumagins"
"SG Only",2,-29.9771415424108,58.3553700620265,-56.6090129165973,0.753064112317144,"LPW","W Shumagins"
"Filtered SG",3,-52.7156601479599,76.844115506586,-75.4988770732121,0.745365464012792,"LPW","W Shumagins"
"VIP > 1.0",3,-72.8750184600766,90.1174633561615,-88.6835577289553,0.666399801201734,"LPW","W Shumagins"
"VIP > 0.5",3,-84.3691179445818,96.8747410243171,-95.6096265083907,0.683781724312904,"LPW","W Shumagins"
"Simple-GAM",NA,0.676834872896525,5.48566865043743,-0.310995043709218,1.7701378343531,"N Kodiak","E Shumagins"
"Simple-LM",NA,0.660815431120324,5.58206544886482,0.331000191970277,1.73956928914883,"N Kodiak","E Shumagins"
"VIP > 1.0",2,0.567657245436996,6.28736637250159,0.986578235529403,1.56380082553389,"N Kodiak","E Shumagins"
"VIP > 0.5",2,0.48309332699196,6.87481070745377,-1.86626361286902,1.4675684574113,"N Kodiak","E Shumagins"
"Filtered SG",2,0.408041264737926,7.35699383572612,-2.46059922123363,1.40054135486527,"N Kodiak","E Shumagins"
"PCA-GAM",NA,0.407425304837872,7.36554661000037,-0.0987354135371169,1.3183528852672,"N Kodiak","E Shumagins"
"PCA-LM",NA,0.371819466056725,7.58894041087355,-0.0589305421068924,1.27954485068177,"N Kodiak","E Shumagins"
"SNV+SG",6,0.104359662650966,9.04943568399836,3.58421572739296,1.16860674469335,"N Kodiak","E Shumagins"
"SG Only",8,0.058227406261666,9.27956673411659,3.04000064821924,1.10754589826816,"N Kodiak","E Shumagins"
"Simple-GAM",NA,0.682445352376729,99.8756935736033,80.3706610287313,0.246638162981746,"N Kodiak","LPW"
"Simple-LM",NA,0.656265575107538,71.8005539323681,59.0361158404122,0.343077542447991,"N Kodiak","LPW"
"PCA-LM",NA,0.613089005072028,74.7764436500864,65.8146108384617,0.325498549350364,"N Kodiak","LPW"
"PCA-GAM",NA,0.611845494128438,63.730964944149,55.6649952520827,0.381912057270944,"N Kodiak","LPW"
"SG Only",8,-11.566923279444,85.5233947386654,-75.5644544048516,0.607681348967722,"N Kodiak","LPW"
"VIP > 0.5",2,-19.1713801403025,108.352330403103,-87.6996154660585,0.382507284101363,"N Kodiak","LPW"
"Filtered SG",2,-20.5180007959146,111.91064763548,-89.7369798961929,0.363997614627452,"N Kodiak","LPW"
"VIP > 1.0",2,-22.2175586600612,116.246189327087,-90.4614405215813,0.333391219504912,"N Kodiak","LPW"
"SNV+SG",6,-47.4098455991499,167.856165607933,-149.290131707575,0.317193640548152,"N Kodiak","LPW"
"SG Only",8,0.99992894638875,0.140688044065369,0,120.594400193289,"N Kodiak","N Kodiak"
"SNV+SG",6,0.998825235189387,0.572057361366603,-4.58414668232323e-16,29.6581976462977,"N Kodiak","N Kodiak"
"PCA-GAM",NA,0.867630786527295,6.07244150436919,-1.10020079963976e-14,2.79396520760602,"N Kodiak","N Kodiak"
"PCA-LM",NA,0.863136709820162,6.17458256331044,1.37513208705336e-15,2.74774693098184,"N Kodiak","N Kodiak"
"Filtered SG",2,0.85951220052375,6.25580811461639,3.20890267762626e-15,2.71207012388849,"N Kodiak","N Kodiak"
"VIP > 0.5",2,0.850002509308426,6.46407089551655,-3.20890267762626e-15,2.62469124529527,"N Kodiak","N Kodiak"
"VIP > 1.0",2,0.834255026707025,6.79491920431812,-2.75048800939394e-15,2.49689360215621,"N Kodiak","N Kodiak"
"Simple-GAM",NA,0.739197640379426,8.52444593190696,1.69617064569377e-14,1.99029830489345,"N Kodiak","N Kodiak"
"Simple-LM",NA,0.720480283606545,8.82409830185214,-1.00855983510964e-14,1.92271093408707,"N Kodiak","N Kodiak"
